Model,Degradation,Class_Code,Class_Name,Clean_F1,Worst_F1,F1_Drop_pp
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,nv,Melanocytic Nevi,0.8973,0.569,32.8
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,vasc,Vascular Lesions,0.8372,0.0285,80.9
"EfficientNetB0 (CNN, 4M)",JPEG Compression,akiec,Actinic Keratoses,0.5151,0.0278,48.7
"EfficientNetB0 (CNN, 4M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7171,0.0586,65.8
"EfficientNetB0 (CNN, 4M)",JPEG Compression,bkl,Benign Keratosis,0.6383,0.1265,51.2
"EfficientNetB0 (CNN, 4M)",JPEG Compression,df,Dermatofibroma,0.4693,0.0,46.9
"EfficientNetB0 (CNN, 4M)",JPEG Compression,mel,Melanoma,0.5432,0.048,49.5
"EfficientNetB0 (CNN, 4M)",JPEG Compression,nv,Melanocytic Nevi,0.8973,0.6615,23.6
"EfficientNetB0 (CNN, 4M)",JPEG Compression,vasc,Vascular Lesions,0.8372,0.024,81.3
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,akiec,Actinic Keratoses,0.5678,0.053,51.5
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,bcc,Basal Cell Carcinoma,0.7257,0.4372,28.9
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,bkl,Benign Keratosis,0.6897,0.4088,28.1
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,df,Dermatofibroma,0.461,0.3788,8.2
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,mel,Melanoma,0.5633,0.0926,47.1
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,nv,Melanocytic Nevi,0.9131,0.785,12.8
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,vasc,Vascular Lesions,0.85,0.1392,71.1
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,akiec,Actinic Keratoses,0.5678,0.0768,49.1
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,bcc,Basal Cell Carcinoma,0.7257,0.0877,63.8
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,bkl,Benign Keratosis,0.6897,0.0358,65.4
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,df,Dermatofibroma,0.461,0.3399,12.1
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,mel,Melanoma,0.5633,0.0235,54.0
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,nv,Melanocytic Nevi,0.9131,0.8274,8.6
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,vasc,Vascular Lesions,0.85,0.6996,15.0
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,akiec,Actinic Keratoses,0.5678,0.0,56.8
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,bcc,Basal Cell Carcinoma,0.7257,0.0398,68.6
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,bkl,Benign Keratosis,0.6897,0.0419,64.8
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,df,Dermatofibroma,0.461,0.2796,18.1
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,mel,Melanoma,0.5633,0.0,56.3
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,nv,Melanocytic Nevi,0.9131,0.8173,9.6
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,vasc,Vascular Lesions,0.85,0.7007,14.9
"ViT-B/16 (Transformer, 86M)",JPEG Compression,akiec,Actinic Keratoses,0.5678,0.0516,51.6
"ViT-B/16 (Transformer, 86M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7257,0.2073,51.8
"ViT-B/16 (Transformer, 86M)",JPEG Compression,bkl,Benign Keratosis,0.6897,0.2638,42.6
"ViT-B/16 (Transformer, 86M)",JPEG Compression,df,Dermatofibroma,0.461,0.1978,26.3
