Model,Degradation,Severity,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
"ViT-B/16 (Transformer, 86M)",JPEG Compression,0,0.8239,0.0129,0.8242,0.0104
"ViT-B/16 (Transformer, 86M)",JPEG Compression,1,0.8169,0.008,0.814,0.006
"ViT-B/16 (Transformer, 86M)",JPEG Compression,2,0.8106,0.0046,0.8065,0.0027
"ViT-B/16 (Transformer, 86M)",JPEG Compression,3,0.7979,0.0078,0.7906,0.0069
"ViT-B/16 (Transformer, 86M)",JPEG Compression,4,0.7679,0.0087,0.7499,0.0095
"ViT-B/16 (Transformer, 86M)",JPEG Compression,5,0.6877,0.0162,0.6167,0.048
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,0,0.8239,0.0129,0.8242,0.0104
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,1,0.8032,0.0086,0.7979,0.0119
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,2,0.7712,0.0075,0.7422,0.016
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,3,0.7123,0.0072,0.6282,0.0175
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,4,0.6903,0.011,0.5761,0.0217
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,5,0.6837,0.0097,0.5692,0.0185
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,0,0.8283,0.0039,0.8289,0.0054
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,1,0.8058,0.0145,0.8047,0.012
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,2,0.7677,0.0171,0.7428,0.0151
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,3,0.7377,0.0102,0.6827,0.0134
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,4,0.6998,0.0092,0.5992,0.0088
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,5,0.6878,0.0132,0.5705,0.0161
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,0,0.8283,0.0039,0.8289,0.0054
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,1,0.6831,0.062,0.6903,0.0511
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,2,0.7054,0.0607,0.7051,0.0509
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,3,0.7156,0.0428,0.6924,0.0411
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,4,0.7163,0.0296,0.6725,0.0302
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,5,0.7079,0.0338,0.6516,0.029
"ViT-S/16 (Transformer, 22M)",JPEG Compression,0,0.8283,0.0039,0.8289,0.0054
"ViT-S/16 (Transformer, 22M)",JPEG Compression,1,0.8176,0.0115,0.8197,0.0103
"ViT-S/16 (Transformer, 22M)",JPEG Compression,2,0.8064,0.0132,0.8095,0.0126
"ViT-S/16 (Transformer, 22M)",JPEG Compression,3,0.7966,0.0097,0.7984,0.0101
"ViT-S/16 (Transformer, 22M)",JPEG Compression,4,0.7452,0.0097,0.7439,0.0104
"ViT-S/16 (Transformer, 22M)",JPEG Compression,5,0.6495,0.0263,0.5992,0.0279
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,0,0.8283,0.0039,0.8289,0.0054
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,1,0.7992,0.0147,0.7952,0.012
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,2,0.7656,0.0146,0.7344,0.0145
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,3,0.7099,0.0125,0.6237,0.0127
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,4,0.6869,0.0119,0.5686,0.014
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,5,0.6797,0.0134,0.5574,0.0152
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,0,0.8274,0.017,0.8296,0.0141
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,1,0.8042,0.0188,0.8022,0.018
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,2,0.7606,0.007,0.7469,0.0091
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,3,0.7462,0.0018,0.7164,0.0113
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,4,0.7227,0.0137,0.6536,0.0282
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,5,0.7001,0.0113,0.5997,0.0209
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,0,0.8274,0.017,0.8296,0.0141
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,1,0.635,0.0498,0.6374,0.0321
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,2,0.6406,0.0546,0.6376,0.0346
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,3,0.6257,0.0879,0.6109,0.0631
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,4,0.6097,0.1089,0.5864,0.0797
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,5,0.5993,0.1183,0.5695,0.0835
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,0,0.8274,0.017,0.8296,0.0141
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,1,0.8199,0.0146,0.8183,0.0111
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,2,0.8033,0.0123,0.8021,0.0076
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,3,0.789,0.0161,0.7878,0.0109
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,4,0.7647,0.0182,0.759,0.0123
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,5,0.6512,0.0294,0.6122,0.0096
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,0,0.8274,0.017,0.8296,0.0141
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,1,0.7919,0.0175,0.7898,0.0172
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,2,0.7601,0.0032,0.7408,0.0065
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,3,0.7265,0.0131,0.6628,0.0252
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,4,0.6941,0.0113,0.5862,0.0196
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,5,0.6797,0.0156,0.5666,0.0139
